kind,app,route,width,viewportHeight,status,actualPath,expectedRedirect,source,executedStates,findings,runtimeFinding,documentScrollWidth,documentOverflow,smallControlCandidateCount,consoleErrorCount,missingRequestCount,blockedRequestCount,portableScreenshots
"terminal","admin","/invoice-management/:invoiceId","400","844","measured","/invoice-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/invoice-management/src/lib/lib.routes.ts:11","initial","","","400","false","9","0","0","0",""
"terminal","admin","/invoice-management/:invoiceId","768","1024","measured","/invoice-management/audit-id","","src/Cleansia.App/libs/cleansia-admin-features/invoice-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","8","0","0","0",""
"terminal","admin","/reports","400","844","measured","/reports","","src/Cleansia.App/libs/cleansia-admin-features/reports/src/lib/lib.routes.ts:5","initial","","","400","false","2","0","0","0",""
"terminal","admin","/reports","768","1024","measured","/reports","","src/Cleansia.App/libs/cleansia-admin-features/reports/src/lib/lib.routes.ts:5","initial","R01","","768","false","1","0","0","0",""
"terminal","admin","/service-management","400","844","measured","/service-management","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:6","initial","","","400","false","6","0","0","0",""
"terminal","admin","/service-management","768","1024","measured","/service-management","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","9","0","0","0",""
"terminal","admin","/service-management/create","400","844","measured_with_runtime_error","/service-management/create","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:11","initial","","X02","400","false","8","1","0","0",""
"terminal","admin","/service-management/create","768","1024","measured_with_runtime_error","/service-management/create","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:11","initial","R01","X02","768","false","7","1","0","0",""
"terminal","admin","/service-management/:serviceId/edit","400","844","measured_with_runtime_error","/service-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:16","initial","","X02","400","false","3","1","0","0",""
"terminal","admin","/service-management/:serviceId/edit","768","1024","measured_with_runtime_error","/service-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/service-management/src/lib/lib.routes.ts:16","initial","R01","X02","768","false","2","1","0","0",""
"terminal","admin","/package-management","400","844","measured","/package-management","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:6","initial","","","400","false","6","0","0","0",""
"terminal","admin","/package-management","768","1024","measured","/package-management","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","9","0","0","0",""
"terminal","admin","/package-management/create","400","844","measured_with_runtime_error","/package-management/create","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:11","initial","","X02","400","false","9","1","0","0",""
"terminal","admin","/package-management/create","768","1024","measured_with_runtime_error","/package-management/create","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:11","initial","R01","X02","768","false","8","1","0","0",""
"terminal","admin","/package-management/:packageId/edit","400","844","unmeasured_runtime_timeout","","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:16","","","X01","","false","0","1","0","0",""
"terminal","admin","/package-management/:packageId/edit","768","1024","unmeasured_runtime_timeout","","","src/Cleansia.App/libs/cleansia-admin-features/package-management/src/lib/lib.routes.ts:16","","R01","X01","","false","0","1","0","0",""
"terminal","admin","/extra-management","400","844","measured","/extra-management","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:6","initial","","","400","false","6","0","0","0",""
"terminal","admin","/extra-management","768","1024","measured","/extra-management","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","9","0","0","0",""
"terminal","admin","/extra-management/create","400","844","measured_with_runtime_error","/extra-management/create","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:11","initial","","X02","400","false","9","1","0","0",""
"terminal","admin","/extra-management/create","768","1024","measured_with_runtime_error","/extra-management/create","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:11","initial","R01","X02","768","false","8","1","0","0",""
"terminal","admin","/extra-management/:extraId/edit","400","844","measured_with_runtime_error","/extra-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:16","initial","","X02","400","false","3","1","0","0",""
"terminal","admin","/extra-management/:extraId/edit","768","1024","measured_with_runtime_error","/extra-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/extra-management/src/lib/lib.routes.ts:16","initial","R01","X02","768","false","2","1","0","0",""
"terminal","admin","/admin-user-management","400","844","measured","/admin-user-management","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:6","initial","","","400","false","5","0","0","0",""
"terminal","admin","/admin-user-management","768","1024","measured","/admin-user-management","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","4","0","0","0",""
"terminal","admin","/admin-user-management/create","400","844","measured","/admin-user-management/create","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:11","initial","","","400","false","12","0","0","0",""
"terminal","admin","/admin-user-management/create","768","1024","measured","/admin-user-management/create","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","11","0","0","0",""
"terminal","admin","/admin-user-management/:userId/edit","400","844","measured","/admin-user-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:16","initial","","","400","false","10","0","0","0",""
"terminal","admin","/admin-user-management/:userId/edit","768","1024","measured","/admin-user-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/admin-user-management/src/lib/lib.routes.ts:16","initial","R01","","768","false","10","0","0","0",""
"terminal","admin","/language-management","400","844","measured","/language-management","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:6","initial","","","400","false","6","0","0","0",""
"terminal","admin","/language-management","768","1024","measured","/language-management","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:6","initial","R01","","768","false","7","0","0","0",""
"terminal","admin","/language-management/create","400","844","measured","/language-management/create","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:11","initial","","","400","false","6","0","0","0",""
"terminal","admin","/language-management/create","768","1024","measured","/language-management/create","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:11","initial","R01","","768","false","5","0","0","0",""
"terminal","admin","/language-management/:languageId/edit","400","844","measured","/language-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:16","initial","","","400","false","6","0","0","0",""
"terminal","admin","/language-management/:languageId/edit","768","1024","measured","/language-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/language-management/src/lib/lib.routes.ts:16","initial","R01","","768","false","5","0","0","0",""
"terminal","admin","/country-management","400","844","measured","/country-management","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:7","initial","","","400","false","2","0","0","0",""
"terminal","admin","/country-management","768","1024","measured","/country-management","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:7","initial","R01","","768","false","4","0","0","0",""
"terminal","admin","/country-management/create","400","844","measured","/country-management/create","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:12","initial","","","400","false","8","0","0","0",""
"terminal","admin","/country-management/create","768","1024","measured","/country-management/create","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:12","initial","R01","","768","false","7","0","0","0",""
"terminal","admin","/country-management/:countryId/edit","400","844","measured","/country-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:17","initial","","","400","false","8","0","0","0",""
"terminal","admin","/country-management/:countryId/edit","768","1024","measured","/country-management/audit-id/edit","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:17","initial","R01","","768","false","7","0","0","0",""
"terminal","admin","/service-area-management","400","844","measured","/service-area-management","","src/Cleansia.App/libs/cleansia-admin-features/country-management/src/lib/lib.routes.ts:31","initial","","","400","false","1","0","0","0",""
